2/14/2022 2:40:21 PM   Potato Crisps A1   Available Balance:$94.90   Current Balance:$91.85
2/14/2022 2:40:45 PM   Potato Crisps A1   Available Balance:$91.85   Current Balance:$88.80
2/14/2022 2:41:05 PM   Potato Crisps A1   Available Balance:$88.80   Current Balance:$85.75
2/14/2022 2:41:53 PM   Stackers A2   Available Balance:$85.75   Current Balance:$84.30
2/14/2022 2:45:59 PM   FEED MONEY        Available Balance:$100   Current Balace:$100
2/14/2022 2:46:01 PM   Potato Crisps A1   Available Balance:$100   Current Balance:$96.95
2/14/2022 2:46:05 PM   Potato Crisps A1   Available Balance:$96.95   Current Balance:$93.90
2/14/2022 2:46:07 PM   Potato Crisps A1   Available Balance:$93.90   Current Balance:$90.85
2/14/2022 2:46:09 PM   Potato Crisps A1   Available Balance:$90.85   Current Balance:$87.80
2/14/2022 2:46:11 PM   Potato Crisps A1   Available Balance:$87.80   Current Balance:$84.75
2/14/2022 2:46:23 PM   Stackers A2   Available Balance:$84.75   Current Balance:$83.30
2/14/2022 2:46:33 PM   Mountain Melter C3   Available Balance:$83.30   Current Balance:$81.80
2/14/2022 2:46:49 PM   GIVE CHANGE        Available Balance:$81.80   Current Balace:$0.00
2/14/2022 2:47:26 PM   FEED MONEY        Available Balance:$1   Current Balace:$1
2/14/2022 2:47:36 PM   GIVE CHANGE        Available Balance:$1   Current Balace:$0.00
2/14/2022 3:06:14 PM   FEED MONEY        Available Balance:$2   Current Balace:$2
2/14/2022 3:06:18 PM   U-Chews D1   Available Balance:$2   Current Balance:$1.15
2/14/2022 3:06:20 PM   GIVE CHANGE        Available Balance:$1.15   Current Balace:$0.00
2/14/2022 3:26:22 PM   FEED MONEY        Available Balance:$4   Current Balace:$4
2/14/2022 3:26:26 PM   FEED MONEY        Available Balance:$1   Current Balace:$5
2/14/2022 3:26:28 PM   Potato Crisps A1   Available Balance:$5   Current Balance:$1.95
2/14/2022 3:26:29 PM   GIVE CHANGE        Available Balance:$1.95   Current Balace:$0.00
2/14/2022 4:01:36 PM   FEED MONEY        Available Balance:$8   Current Balace:$8
2/14/2022 4:01:39 PM   Potato Crisps A1   Available Balance:$8   Current Balance:$4.95
2/14/2022 4:02:24 PM   FEED MONEY        Available Balance:$8   Current Balace:$8
2/14/2022 4:03:16 PM   Potato Crisps A1   Available Balance:$8   Current Balance:$4.95
2/14/2022 4:43:31 PM   FEED MONEY        Available Balance:$10   Current Balace:$10
2/14/2022 4:43:40 PM   Potato Crisps A1   Available Balance:$10   Current Balance:$6.95
2/14/2022 4:43:51 PM   FEED MONEY        Available Balance:$10   Current Balace:$16.95
2/14/2022 4:43:59 PM   Potato Crisps A1   Available Balance:$16.95   Current Balance:$13.90
2/14/2022 4:44:01 PM   Potato Crisps A1   Available Balance:$13.90   Current Balance:$10.85
2/14/2022 4:44:09 PM   Potato Crisps A1   Available Balance:$10.85   Current Balance:$7.80
2/14/2022 4:44:11 PM   Potato Crisps A1   Available Balance:$7.80   Current Balance:$4.75
2/14/2022 4:44:24 PM   Cola C1   Available Balance:$4.75   Current Balance:$3.50
2/14/2022 4:44:36 PM   GIVE CHANGE        Available Balance:$3.50   Current Balace:$0.00
2/14/2022 4:44:44 PM   GIVE CHANGE        Available Balance:$0   Current Balace:$0
2/14/2022 4:52:24 PM   FEED MONEY        Available Balance:$10   Current Balace:$10
2/14/2022 4:52:27 PM   Potato Crisps A1   Available Balance:$10   Current Balance:$6.95
2/14/2022 4:52:33 PM   Potato Crisps A1   Available Balance:$6.95   Current Balance:$3.90
2/14/2022 4:52:37 PM   GIVE CHANGE        Available Balance:$3.90   Current Balace:$0.00
2/14/2022 4:58:35 PM   FEED MONEY        Available Balance:$10   Current Balace:$10
2/14/2022 4:58:37 PM   Potato Crisps A1   Available Balance:$10   Current Balance:$6.95
2/14/2022 4:58:40 PM   GIVE CHANGE        Available Balance:$6.95   Current Balace:$0.00
2/14/2022 4:58:59 PM   GIVE CHANGE        Available Balance:$0   Current Balace:$0
2/14/2022 4:59:03 PM   GIVE CHANGE        Available Balance:$0   Current Balace:$0
2/14/2022 5:27:45 PM   FEED MONEY        Available Balance:$10   Current Balace:$10
2/14/2022 5:27:50 PM   Potato Crisps A1   Available Balance:$10   Current Balance:$6.95
2/14/2022 5:27:56 PM   Potato Crisps A1   Available Balance:$6.95   Current Balance:$3.90
2/14/2022 5:27:57 PM   GIVE CHANGE        Available Balance:$3.90   Current Balace:$0.00
2/14/2022 5:31:35 PM   FEED MONEY        Available Balance:$10   Current Balace:$10
2/14/2022 5:31:51 PM   Potato Crisps A1   Available Balance:$10   Current Balance:$6.95
2/14/2022 5:32:02 PM   Potato Crisps A1   Available Balance:$6.95   Current Balance:$3.90
2/14/2022 5:32:05 PM   GIVE CHANGE        Available Balance:$3.90   Current Balace:$0.00
2/14/2022 5:38:13 PM   FEED MONEY        Available Balance:$10   Current Balace:$10
2/14/2022 5:38:24 PM   Potato Crisps A1   Available Balance:$10   Current Balance:$6.95
2/14/2022 5:38:29 PM   Potato Crisps A1   Available Balance:$6.95   Current Balance:$3.90
2/14/2022 5:38:32 PM   FEED MONEY        Available Balance:$10   Current Balace:$13.90
2/14/2022 5:38:38 PM   GIVE CHANGE        Available Balance:$13.90   Current Balace:$0.00
2/14/2022 5:59:59 PM   FEED MONEY        Available Balance:$10   Current Balace:$10
2/14/2022 6:00:07 PM   Potato Crisps A1   Available Balance:$10   Current Balance:$6.95
2/14/2022 6:00:10 PM   Potato Crisps A1   Available Balance:$6.95   Current Balance:$3.90
2/14/2022 6:00:17 PM   GIVE CHANGE        Available Balance:$3.90   Current Balace:$0.00
